============= Kyber-I
Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.1
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 8, J_gap = 1, cost_model = 1, max_loop = 5, threads = 10, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = 1, Find minimal time cost strategy, worst_case, Min G2 Strategy. 

 index:        2, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      745, cost =
 index:        3, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      745, cost =
 index:        4, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      746, cost =
 index:        5, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:        6, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      747, cost =
 index:        7, (  61,   1): (  62,   8) --> ( 699,   1), goal index:      750, cost =
 index:        8, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      747, cost =
 index:        9, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:       10, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      749, cost =
 index:       11, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      749, cost =
 index:       12, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      747, cost =
 index:       13, (  69,   1): (  70,   8) --> ( 699,   1), goal index:      749, cost =
 index:       14, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:       15, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      749, cost =
 index:       16, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:       17, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:       18, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      750, cost =
 index:       19, (  76,   1): (  77,   8) --> ( 699,   1), goal index:      762, cost =
 index:       20, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      759, cost =
 index:       21, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      760, cost =
 index:       22, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      769, cost =
 index:       23, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      775, cost =
 index:       24, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      782, cost =
 index:       25, (  79,   8): (  79,   7) --> ( 699,   1), goal index:      791, cost =
 index:       26, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      808, cost =
 index:       27, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      837, cost =
 index:       28, (  79,   6): (  79,   5) --> ( 699,   1), goal index:      854, cost =
 index:       29, (  80,   7): (  80,   6) --> ( 699,   1), goal index:      870, cost =
 index:       30, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      884, cost =
 index:       31, (  82,   7): (  82,   6) --> ( 699,   1), goal index:      897, cost =
 index:       32, (  83,   8): (  83,   7) --> ( 699,   1), goal index:      911, cost =
 index:       33, (  82,   6): (  82,   5) --> ( 699,   1), goal index:      919, cost =
 index:       34, (  79,   8): (  79,   7) --> ( 699,   1), goal index:      933, cost =
 index:       35, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      836, cost =
 index:       36, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      863, cost =
 index:       37, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      881, cost =
 index:       38, (  79,   6): (  79,   5) --> ( 699,   1), goal index:      902, cost =
